doc_id,title,author,source,philosophy,psychology,science,economics,karma,emotion,morality,ideal,individual,community
doc_000048,The Mysteries of Udolpho,"Radcliffe, Ann Ward",gutendex,0.12308472,0.106463216,0.07951291,0.02041164,0.0388692,0.16278107,0.09487664,0.1301271,0.15965782,0.08421563
doc_000049,Dracula,"Stoker, Bram",gutendex,0.11010444,0.08046535,0.14343941,0.0,0.10064211,0.13018468,0.14737807,0.064131886,0.10707254,0.116581485
doc_000050,Pride and Prejudice,"Austen, Jane",gutendex,0.11580908,0.13182771,0.064677894,0.025267065,0.062373903,0.16888092,0.10359827,0.100211956,0.14869162,0.078661636
doc_000051,The Secret of Chimneys,"Christie, Agatha",gutendex,0.13974737,0.06266472,0.11133882,0.0,0.11662422,0.13322102,0.09293287,0.103336215,0.16396573,0.07616918
doc_000052,Carmen,"Mérimée, Prosper",gutendex,0.15517639,0.08523508,0.062426955,0.034320176,0.07534683,0.12456629,0.07561838,0.13644244,0.16875644,0.08211108
doc_000053,Henrietta Temple: A Love Story,"Disraeli, Benjamin, Earl of Beaconsfield",gutendex,0.13084896,0.097248346,0.06832775,0.023974398,0.0698368,0.13384673,0.09581245,0.12425629,0.14070041,0.11514786
doc_000054,"Oliver Twist, Vol. 2 (of 3)","Dickens, Charles",gutendex,0.120095566,0.087339066,0.098703556,0.03754104,0.0952841,0.16016187,0.1076237,0.10574919,0.1174109,0.07009107
doc_000055,A Doll's House : a play,"Ibsen, Henrik",gutendex,0.09759862,0.07946066,0.035473086,0.0,0.11440359,0.10916706,0.047246143,0.12682562,0.23125027,0.15857495
doc_000056,Fifteen Thousand Useful Phrases,"Kleiser, Grenville",gutendex,0.1587633,0.093653485,0.14952353,0.031203246,0.06378082,0.08799755,0.1274086,0.11200069,0.05856928,0.11709945
doc_000057,The Green Mummy,"Hume, Fergus",gutendex,0.16385211,0.06698085,0.15786026,0.0,0.13850294,0.08175441,0.10515578,0.094604075,0.100930475,0.090359144
